Webmapper code,Webmapper numeric code,ccode,country name,start year,end year,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
cshapes/1428,1428,662,St. Lucia,1979,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cshapes/1490,1490,768,Togo,1960,2012,,,,,574,584,593,602,611,621,630,639,647,656,698,728,736,754,841,932,991,1019,1043,1126,1075,1126,1138,1067,1087,1056,1026,1057,1138,1178,1097,998,928,847,842,851,847,829,836,837,800.3280061,768.2729144,713.519035,599.9502778,700.1975805,707.8416855,740.752855,677.6381718,643.5787919,643.7534097,614.2215421,601.2572305,611.3660646,625.8646943,623.1780367,613.7047265,620.6857027,615.4435464,605.5978888,,
cshapes/1416,1416,32,Argentina,1946,2012,4665.168191,5089.47231,5251.776208,5047.398128,4986.724458,5073.029915,4717.41386,4874.493824,4979.828648,5237.000075,5285.31468,5460.686494,5697.980988,5241.468063,5559.465947,5861.841649,5677.233225,5455.440482,5926.126658,6370.747338,6320.604235,6398.951785,6577.756622,7037.280383,7301.966217,7529.937018,7634.565559,7961.973879,8334.083602,8122.497305,7965.20183,8304.381424,7807.247683,8226.909848,8205.979887,7606.558514,7245.755199,7387.053452,7425.854256,6834.930882,7223.791941,7297.928854,7054.363064,6520.109296,6432.921661,6954.710722,7383.739587,7748.367729,8119.048972,7785.950334,8090.801274,8614.729624,8899.888248,8545.157891,8409.969914,7967.806307,7038.063218,7518.343329,7966.885575,8540.598227,9101.152747,9715.227196,9971.923685,9580.694777,10256.27514
cshapes/1495,1495,8,Albania,1946,2012,,,,,1001,1045,1046,1089,1120,1181,1193,1269,1326,1381,1451,1463,1511,1563,1616,1675,1738,1804,1869,1932,2004,2084,2165,2273,2282,2289,2299,2309,2319,2331,2347,2360,2373,2387,2400,2413,2428,2443,2459,2477,2499.400144,1835.706149,1764.003834,1936.949431,2067.467282,2307.584114,2481.856309,2197.91225,2405.34461,2751.885327,2962.279357,3228.523379,3397.683995,3627.058403,3864.394503,4116.775963,4367.438231,4647.313787,5010.031778,5178.866904,5374.99081
nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cshapes/1509,1509,40,Austria,1955,2012,1956,2166,2764,3293,3706,3959,3967,4137,4555,5053,5397,5716,5907,6051,6519,6827,6950,7186,7567,7734,8112,8297,8621,9131,9747,10200,10771,11235,11658,11646,12201,12767,12731,13448,13759,13718,13961,14394,14439,14752,15081,15313,15754,16360,16894.58044,17262.63107,17409.04261,17339.45372,17669.83659,18096.42706,18511.93112,18918.16235,19613.07624,20268.21931,20961.72263,21093.92267,21407.44277,21554.85344,22080.30328,22582.94694,23388.29081,24234.638,24565.4845,23622.58169,24095.67625
cshapes/1579,1579,716,Zimbabwe,1965,2012,,,,,701,722,724,760,772,808,892,924,906,925,938,956,939,901,953,984,967,1015,999,1086,1282,1353,1423,1432,1427,1402,1357,1221,1232,1211,1295,1407,1405,1374,1297,1335,1322,1257,1326,1368,1355.449565,1412.689151,1259.718757,1256.334289,1315.917225,1309.672754,1416.948913,1417.151217,1401.599218,1337.046198,1231.003644,1248.161,1128.107824,941.779964,891.5411524,849.2912478,826.7980905,802.649436,660.7354466,699.5601542,749.7978863
nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cshapes/1421,1421,84,Belize,1981,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
