"ID","oldid","country","side_a","side_b","cow","incompatibility","terr","begin","end","type","identity","radius","confarea","landarea","confland","rel_scope","distance","maxdist","mindist","disper","pop2000","resource","mountain","forest","border","mindisx","lnmndist","confarex","ln_abs_scope","ln_land_area","lnpop","lnconpro","duration","distx","location","mountx","frstx","lnmountx","lnfrstx","diamond","diadist","gold","golddist","oil","oildist","roadpave","roadtot","pavetot","paveland","roadland","disxsqr","mndisxsq","stabilit","rulelaw","nocorrup","lnd100km","pop100km","lnd100cr","pop100cr","landlock","ciffob95","coastden","intden","densdiff"
260,139,"Egypt","Egypt","al-Gamaa al-Islamiyya , al-Jihad  al-Islamiy, Tala i al-Fath",651,2,"",1992,1998,3,1,400,500,995,50,50,239,639,0,0.920000016689301,64,1,1,0,0,1,0,500,6.21460819244385,6.90274286270142,4.1588830947876,0.900309979915619,7,239,5.47646331787109,1,1,0,0,0,NA,0,NA,1,158,50,64,78.125,5.02512550354004,6.4321608543396,57121,1,-0.0700000002980232,0.129999995231628,-0.270000010728836,24,48,39,99,0,1.11000001430511,117,39,78
270,NA,"El Salvador","El Salvador","ERP , FAL, FARN, FPL, PRTC",92,2,"",1979,1990,3,0,100,30,21,143,100,31,131,0,0.449999988079071,6,0,10,5,1,1,0,30,3.40119743347168,3.04452252388,1.7917594909668,1.11715292930603,12,31,3.43398714065552,10,5,2.30258512496948,1.60943794250488,0,NA,0,NA,0,NA,1.89999997615814,10,19,9.0476188659668,47.6190490722656,961,1,-0.0199999995529652,-0.660000026226044,-0.349999994039536,100,100,100,100,0,NA,271,0,271
271,144,"El Salvador","El Salvador","FMLN, Gerado Barrios Civic Front",92,2,"",1991,1991,3,0,100,30,21,143,100,31,131,0,0.449999988079071,6,0,10,5,1,1,0,30,3.40119743347168,3.04452252388,1.7917594909668,1.11715292930603,1,31,3.43398714065552,10,5,2.30258512496948,1.60943794250488,0,NA,0,NA,0,NA,1.89999997615814,10,19,9.0476188659668,47.6190490722656,961,1,-0.0199999995529652,-0.660000026226044,-0.349999994039536,100,100,100,100,0,NA,271,0,271
272,145,"El Salvador","El Salvador","Military faction",92,2,"",1972,1972,3,0,50,10,21,48,48,0,50,0,0.449999988079071,6,0,10,5,0,1,0,10,2.30258512496948,3.04452252388,1.7917594909668,0.756304204463959,1,5,1.60943794250488,10,5,2.30258512496948,1.60943794250488,0,NA,0,NA,0,NA,1.89999997615814,10,19,9.0476188659668,47.6190490722656,25,1,-0.0199999995529652,-0.660000026226044,-0.349999994039536,100,100,100,100,0,NA,271,0,271
280,147,"Equatorial Guinea","Equatorial Guinea","Military faction",411,2,"",1979,1979,3,0,100,30,28,107,100,283,383,183,NA,1,1,NA,NA,1,183,5.20948600769043,30,3.40119743347168,3.33220458030701,0,1.02070486545563,1,283,5.64544677734375,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,2.79999995231628,0,0,10,80089,33489,NA,-1.20000004768372,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
290,149,"Ethiopia","Ethiopia","ALF",530,1,"Afar",1989,1991,3,1,100,30,1000,3,3,561,661,461,0.639999985694885,64,0,70,13,1,461,6.13339805603027,30,3.40119743347168,6.90775537490845,4.1588830947876,0.492373764514923,3,561,6.32972097396851,70,13,4.24849510192871,2.56494927406311,0,NA,0,NA,0,NA,3.20000004768372,24.1000003814697,13.2780084609985,0.319999992847443,2.41000008583069,314721,212521,0.140000000596046,0.270000010728836,-0.439999997615814,2,2,2,1,1,1.19000005722046,40,57,-17
291,150,"Ethiopia","Ethiopia","ARDUF",530,1,"Afar",1996,1996,3,1,100,30,1000,3,3,561,661,461,0.639999985694885,64,0,70,13,1,461,6.13339805603027,30,3.40119743347168,6.90775537490845,4.1588830947876,0.492373764514923,1,561,6.32972097396851,70,13,4.24849510192871,2.56494927406311,0,NA,0,NA,0,NA,3.20000004768372,24.1000003814697,13.2780084609985,0.319999992847443,2.41000008583069,314721,212521,0.140000000596046,0.270000010728836,-0.439999997615814,2,2,2,1,1,1.19000005722046,40,57,-17
292,NA,"Ethiopia","Ethiopia","ELF , ELF factions, EPLF",530,1,"Eritrea",1962,1991,3,1,300,280,1000,28,28,777,1077,477,0.639999985694885,64,0,70,13,0,477,6.16751670837402,280,5.63478946685791,6.90775537490845,4.1588830947876,0.815719306468964,30,777,6.65544033050537,70,13,4.24849510192871,2.56494927406311,0,NA,1,127,0,NA,3.20000004768372,24.1000003814697,13.2780084609985,0.319999992847443,2.41000008583069,603729,227529,0.140000000596046,0.270000010728836,-0.439999997615814,2,2,2,1,1,1.19000005722046,40,57,-17
293,NA,"Ethiopia","Ethiopia","ONLF",530,1,"Ogaden",1996,2000,3,1,300,280,1000,28,28,707,1007,407,0.639999985694885,64,0,70,13,0,407,6.00881338119507,280,5.63478946685791,6.90775537490845,4.1588830947876,0.815719306468964,5,707,6.56103086471558,70,13,4.24849510192871,2.56494927406311,0,NA,0,NA,0,NA,3.20000004768372,24.1000003814697,13.2780084609985,0.319999992847443,2.41000008583069,499849,165649,0.140000000596046,0.270000010728836,-0.439999997615814,2,2,2,1,1,1.19000005722046,40,57,-17
294,157,"Ethiopia","Ethiopia","OLF",530,1,"Oromiya",1999,2000,3,1,500,785,1000,79,79,116,616,0,0.639999985694885,64,0,70,13,1,1,0,785,6.66568374633789,6.90775537490845,4.1588830947876,0.964956521987915,2,116,4.75359010696411,70,13,4.24849510192871,2.56494927406311,0,NA,0,NA,0,NA,3.20000004768372,24.1000003814697,13.2780084609985,0.319999992847443,2.41000008583069,13456,1,0.140000000596046,0.270000010728836,-0.439999997615814,2,2,2,1,1,1.19000005722046,40,57,-17
295,NA,"Ethiopia","Ethiopia","al-Itahad al-Islami",530,1,"Somali",1996,1999,3,1,400,500,1000,50,50,600,1000,200,0.639999985694885,64,0,70,13,1,200,5.29831743240356,500,6.21460819244385,6.90775537490845,4.1588830947876,0.899656653404236,4,600,6.39692974090576,70,13,4.24849510192871,2.56494927406311,0,NA,0,NA,0,NA,3.20000004768372,24.1000003814697,13.2780084609985,0.319999992847443,2.41000008583069,360000,40000,0.140000000596046,0.270000010728836,-0.439999997615814,2,2,2,1,1,1.19000005722046,40,57,-17
296,160,"Ethiopia","Ethiopia","EPRP, TPLF , EPDM,  OLF",530,2,"",1976,1991,3,0,300,280,1000,28,28,331,631,31,0.639999985694885,64,0,70,13,1,31,3.43398714065552,280,5.63478946685791,6.90775537490845,4.1588830947876,0.815719306468964,16,331,5.8021183013916,70,13,4.24849510192871,2.56494927406311,0,NA,0,NA,0,NA,3.20000004768372,24.1000003814697,13.2780084609985,0.319999992847443,2.41000008583069,109561,961,0.140000000596046,0.270000010728836,-0.439999997615814,2,2,2,1,1,1.19000005722046,40,57,-17
297,161,"Ethiopia","Ethiopia","Military faction",530,2,"",1960,1960,3,0,50,10,1000,1,1,0,50,0,0.639999985694885,64,0,70,13,0,1,0,10,2.30258512496948,6.90775537490845,4.1588830947876,0.333333343267441,1,5,1.60943794250488,70,13,4.24849510192871,2.56494927406311,0,NA,0,NA,0,NA,3.20000004768372,24.1000003814697,13.2780084609985,0.319999992847443,2.41000008583069,25,1,0.140000000596046,0.270000010728836,-0.439999997615814,2,2,2,1,1,1.19000005722046,40,57,-17
298,NA,"Ethiopia","Ethiopia, Cuba","WSLF",530,1,"Ogaden",1975,1983,3,1,300,280,1000,28,28,707,1007,407,0.639999985694885,64,0,70,13,0,407,6.00881338119507,280,5.63478946685791,6.90775537490845,4.1588830947876,0.815719306468964,9,707,6.56103086471558,70,13,4.24849510192871,2.56494927406311,0,NA,0,NA,0,NA,3.20000004768372,24.1000003814697,13.2780084609985,0.319999992847443,2.41000008583069,499849,165649,0.140000000596046,0.270000010728836,-0.439999997615814,2,2,2,1,1,1.19000005722046,40,57,-17
300,171,"France","France","OAS",220,2,"",1961,1962,3,0,50,10,550,2,2,0,50,0,0.660000026226044,59,0,11,27,0,1,0,10,2.30258512496948,6.30991840362549,4.07753753662109,0.364915192127228,2,5,1.60943794250488,11,27,2.39789533615112,3.29583692550659,0,NA,0,NA,0,NA,892.900024414062,892.900024414062,100,162.345458984375,162.345458984375,25,1,0.649999976158142,1.08000004291534,1.27999997138977,33,33,85,90,0,1.02999997138977,106,106,0
310,172,"Gambia","Gambia","SRLP",420,2,"",1981,1981,3,0,50,10,10,100,100,0,50,0,0.550000011920929,1,0,0,9,0,1,0,10,2.30258512496948,2.30258512496948,0,1,1,5,1.60943794250488,1,9,0,2.19722461700439,0,NA,0,NA,0,NA,0.899999976158142,2.70000004768372,33.3333320617676,9,27,25,1,0.560000002384186,0.270000010728836,-0.0199999995529652,19,43,19,43,0,1.07000005245209,174,70,104
320,NA,"Georgia","Georgia","Republic of Abkhazia",372,1,"Abkhazia",1992,1994,3,1,100,30,70,43,43,383,483,283,0.610000014305115,5,0,61,43,0,283,5.64544677734375,30,3.40119743347168,4.24849510192871,1.60943794250488,0.800565242767334,3,383,5.94803476333618,61,43,4.11087369918823,3.76120018959045,0,NA,0,NA,0,NA,29.5,33.9000015258789,87.0206527709961,42.1428565979004,48.4285697937012,146689,80089,-0.759999990463257,-0.490000009536743,-0.740000009536743,31,31,32,31,0,NA,79,77,2
321,176,"Georgia","Georgia","Republic of South Ossetia",372,1,"South Ossetia",1992,1992,3,1,50,10,70,14,14,96,146,46,0.610000014305115,5,0,61,43,1,46,3.82864141464233,10,2.30258512496948,4.24849510192871,1.60943794250488,0.541976630687714,1,96,4.5643482208252,61,43,4.11087369918823,3.76120018959045,0,NA,0,NA,0,NA,29.5,33.9000015258789,87.0206527709961,42.1428565979004,48.4285697937012,9216,2116,-0.759999990463257,-0.490000009536743,-0.740000009536743,31,31,32,31,0,NA,79,77,2
