"ID","conflict_name","ccode","cname","region","secession","battledeadbest","lnbdb","battledeadlow","lnbdl","battledeadhigh","lnbdh","pop","lnpop","dper100k","begin","end","duration","lnduration","rate","lnrate","cw","intervention","democ","lngdp","gdpsq","milper","milperpop","lnmilperpop","milex","milqual","lnmilqual","milq2","mountain","lnmountain","ethfrac","lnethfrac","relfrac","lnrelfrac","relpolar","ethnicpolar"
1902,"Burundi 1995-2002",516,"BUI",1,0,6000,8.69951438903809,6000,8.69951438903809,6000,8.69951438903809,6024750,15.6113862991333,99.5891952514648,1995,2002,8,2.0794415473938,750,6.62007331848145,0,0,0,6.19871473312378,13.0526494979858,17,2.82169389720366e-06,-12.7781734466553,33000,1941.17651367188,7.57104969024658,14.0199060440063,74.4999847412109,4.32413244247437,0.0355106592178345,-3.33792233467102,0.55019998550415,-0.597473442554474,1,1
1910,"Chad 1965-94",483,"CHA",1,0,34799,10.4573440551758,34700,10.4544954299927,34799,10.4573440551758,3287000,15.005485534668,1058.68579101562,1965,1994,30,3.40119743347168,1159.96667480469,7.0561466217041,1,1,0,6.61204099655151,12.1322164535522,2,6.08457582984556e-07,-14.3123388290405,1787,893.5,6.79514646530151,15.3513507843018,8.5,2.25129175186157,0.82627284526825,-0.190830245614052,0.625,-0.470003634691238,1,1
1911,"Chad 1997-2002",483,"CHA",1,0,954,6.86066389083862,954,6.86066389083862,954,6.86066389083862,6937350,15.7524299621582,13.7516489028931,1997,2002,6,1.7917594909668,159,5.06890439987183,0,0,0,5.84191799163818,13.4442024230957,40,5.76589036427322e-06,-12.0635509490967,40000,1000,6.90775537490845,15.2499990463257,8.5,2.25129175186157,0.82627284526825,-0.190830245614052,0.625,-0.470003634691238,1,1
1920,"Columbia 1965-2002",100,"COL",2,0,24779,10.1177520751953,24779,10.1177520751953,24779,10.1177520751953,17906000,16.700647354126,138.3837890625,1965,2002,38,3.63758611679077,652.078918457031,6.48016548156738,1,1,1,7.52886915206909,13.0617542266846,55,3.07159621115716e-06,-12.6933135986328,119111,2165.65454101562,7.6804780960083,13.5669326782227,37.0999984741211,3.64021420478821,0.0601527094841003,-2.81086874008179,0.180000007152557,-1.71479833126068,1,1
1930,"Dominican Republic 1965",42,"DOM",2,0,3280,8.09559917449951,2526,7.83439207077026,4000,8.29404926300049,3727000,15.1311140060425,88.0064392089844,1965,1965,1,0,3280,8.09559917449951,1,1,0,7.31588363647461,11.5921173095703,19,5.09793380842893e-06,-12.1866750717163,37000,1947.36840820312,7.57423400878906,14.0086936950684,16.3999977111816,2.85647010803223,0.0369887948036194,-3.29714035987854,0.0950000286102295,-2.35387802124023,0,1
1941,"Indonesia (West Papau)",850,"INS",4,1,8500,9.04782104492188,3000,8.00636768341064,8500,9.04782104492188,132589000,18.7027645111084,6.41078805923462,1976,1978,3,1.0986123085022,2833.33325195312,7.94920921325684,1,0,0,6.85961484909058,10.8053550720215,260,1.96094697457738e-06,-13.1420831680298,1195180,4596.84619140625,8.43312549591064,14.6895246505737,10.5,2.44234704971313,0.764058351516724,-0.269111126661301,0.221599996089935,-1.50688135623932,0,1
1951,"Peru (Sendero Luminoso)",135,"PER",2,0,30937,10.3397083282471,30937,10.3397083282471,30937,10.3397083282471,16869000,16.6409873962402,183.395584106445,1980,1999,20,2.99573230743408,1546.84997558594,7.34397602081299,1,1,0,7.9366602897644,14.7840633392334,125,7.41004214432905e-06,-11.8126745223999,535442,4283.5361328125,8.36253452301025,14.2372589111328,47.6000022888184,3.8836236000061,0.589686512947083,-0.528164207935333,0.180000007152557,-1.71479833126068,1,1
1960,"Vietnam War",817,"RVN",4,0,2097705,14.5563545227051,2097705,14.5563545227051,2097705,14.5563545227051,23648000,16.9787883758545,8870.5390625,1955,1975,21,3.04452252388,99890.7109375,11.5118322372437,1,1,0,6.28785848617554,12.9135398864746,170,7.18876844985061e-06,-11.8429908752441,379321,2231.30004882812,7.71033954620361,13.412449836731,19.2000007629395,3.00568270683289,0.26371169090271,-1.33289885520935,0.130200028419495,-2.03868341445923,0,0
1990,"India (Mizoram)",750,"IND",3,1,900,6.80239486694336,900,6.80239486694336,900,6.80239486694336,487336992,20.004467010498,0.184677138924599,1966,1968,3,1.0986123085022,300,5.70378255844116,1,0,1,6.62140560150146,12.0994672775269,1220,2.50340121965564e-06,-12.8978605270386,1804170,1478.82788085938,7.29900503158569,14.7175998687744,12.9000005722046,2.63188886642456,0.886478185653687,-0.120498761534691,0.33840000629425,-1.08352661132812,1,1
2021,"Syria (Muslim Brotherhood)",652,"SYR",6,0,15450,9.64536380767822,5450,8.60337066650391,25550,10.1483926773071,8164000,15.9152450561523,189.245468139648,1979,1982,4,1.3862943649292,3862.5,8.25907039642334,1,0,0,8.33278942108154,16.0013694763184,220,2.69475749519188e-05,-10.52161693573,1165095,5295.88623046875,8.57468605041504,15.4347982406616,5.40000009536743,1.85629796981812,0.223094642162323,-1.50015914440155,0.416800022125244,-0.875148713588715,1,1
