"ccode","begin","milqual","mountain","ethfrac","ethnicpolar","relpolar"
698,1972,9629.25,2.80000019073486,0.237020015716553,1,1
552,1972,4512.36376953125,2.90000009536743,0.543950438499451,1,1
155,1973,4000,57.5999870300293,0.140437066555023,1,1
771,1974,479.116271972656,0,0.0049750804901123,1,1
352,1974,1014.45452880859,9,0.348582923412323,1,1
770,1974,1008.11590576172,43.0000038146973,0.644509017467499,1,1
540,1975,4866.7998046875,9.70000076293945,0.783281743526459,1,1
540,1998,8042.10546875,9.70000076293945,0.783281743526459,1,1
530,1975,1663.97778320312,70.3999862670898,0.693593263626099,1,1
850,1975,2592.59252929688,10.5,0.764058351516724,1,0
600,1975,6490.5693359375,46.2000045776367,0.534009218215942,1,0
541,1976,900.900024414062,2.40000033378601,0.654930055141449,1,1
700,1978,365.657348632812,65.6000061035156,0.658280968666077,1,1
700,2001,625,65.6000137329102,0.658281028270721,1,1
93,1978,6879.16650390625,9.30000114440918,0.179328680038452,1,1
93,1981,2583.33325195312,9.30000114440918,0.179328680038452,1,1
450,1989,4010,0.600000023841858,0.82991224527359,1,1
560,1981,40837.3125,7.69999933242798,0.877227067947388,1,1
750,1983,4712.57763671875,12.9000005722046,0.886478185653687,1,1
780,1983,3728.4443359375,7.30000019073486,0.467041432857513,1,1
640,1984,2996.46484375,71.3000030517578,0.25491327047348,1,1
680,1986,7148.14794921875,27.2000007629395,0.172264218330383,0,0
750,1989,7051.470703125,12.9000005722046,0.886478185653687,1,1
850,1989,4936.61962890625,10.5,0.764058351516724,1,0
850,1999,3453.57153320312,10.5,0.764058351516724,1,0
360,1989,3677.27270507812,17,0.252163052558899,1,1
517,1990,6166.66650390625,73.3999938964844,0.129210829734802,1,1
517,1998,2575,73.3999938964844,0.129210829734802,1,1
451,1991,847.799987792969,1.70000004768372,0.76884651184082,1,1
345,1991,19555.5546875,13.4000005722046,0.423846006393433,1,1
615,1991,7174.60302734375,15.6999998092651,0.435273408889771,1,0
373,1991,4415.3486328125,25.6000003814697,0.303524136543274,0,0
346,1992,14166.6669921875,60.5,0.697153210639954,1,1
344,1992,5446.60205078125,3.60925126075745,0.334221005439758,1,1
651,1992,3801.84326171875,1,0.0440084934234619,1,0
372,1992,34000,60.7999954223633,0.495510041713715,1,1
702,1992,67600,81,0.551569521427155,1,1
365,1994,19413.333984375,14.1999988555908,0.333092987537384,0,1
365,1999,57107,14.1999988555908,0.333092987537384,0,1
679,1994,7656.25,27.2000026702881,0.0599999986588955,0,1
770,1995,6181.03466796875,43.0000038146973,0.644509017467499,1,1
484,1997,5600,0,0.657212376594543,1,1
484,1998,7400,0,0.657212376594543,1,1
404,1998,1142.85717773438,0,0.803756952285767,1,1
345,1998,12947.826171875,13.4000005722046,0.423846006393433,1,1
