"","country","year","gdp","growth"
"268","Spain",2003,20900,0.0145631067961165
"269","France",2003,23000,-0.0254237288135594
"270","Croatia",2003,11700,0.0540540540540539
"271","Italy",2003,23000,0
"272","Cyprus",2003,18300,0.011049723756906
"273","Latvia",2003,9100,0.0833333333333333
"274","Lithuania",2003,10300,0.131868131868132
"275","Luxembourg",2003,51100,0.0428571428571429
"276","Hungary",2003,12900,0.032
"277","Malta",2003,17000,0.0119047619047619
"278","Netherlands",2003,26700,-0.0183823529411765
"279","Austria",2003,26400,0.0153846153846153
"280","Poland",2003,10100,0.0202020202020201
"281","Portugal",2003,16400,0.00613496932515334
"282","Romania",2003,6500,0.0833333333333333
"283","Slovenia",2003,17300,0.0297619047619047
"284","Slovakia",2003,11500,0.0360360360360361
"285","Finland",2003,23300,-0.00851063829787235
"286","Sweden",2003,25700,0.028
"287","United Kingdom",2003,25400,0.0241935483870968
"288","Iceland",2003,26000,-0.0188679245283019
"289","Liechtenstein",2003,NA,NA
"290","Norway",2003,32300,0.0221518987341771
"291","Switzerland",2003,28900,-0.0136518771331058
"292","Former Yugoslav Republic of Macedonia",2003,5400,0.0384615384615385
"293","Serbia",2003,NA,NA
"294","Turkey",2003,7400,0
"295","United States",2003,33400,0.0276923076923077
"296","Japan",2003,23600,0.0172413793103448
"297","Belgium",2004,26200,0.0234375
"298","Bulgaria",2004,7500,0.0869565217391304
"299","Czech Republic",2004,16900,0.0696202531645569
"300","Denmark",2004,27100,0.0544747081712063
"301","Germany",2004,25000,0.0460251046025104
"302","Estonia",2004,12400,0.0973451327433628
"303","Ireland",2004,30800,0.0511945392491469
"304","Greece",2004,20300,0.0572916666666667
"305","Spain",2004,21900,0.0478468899521531
"306","France",2004,23700,0.0304347826086957
"307","Croatia",2004,12500,0.0683760683760684
"308","Italy",2004,23100,0.0043478260869565
"309","Cyprus",2004,19600,0.0710382513661203
"310","Latvia",2004,10100,0.10989010989011
"311","Lithuania",2004,11100,0.0776699029126213
"312","Luxembourg",2004,54500,0.066536203522505
"313","Hungary",2004,13600,0.054263565891473
"314","Malta",2004,17200,0.0117647058823529
"315","Netherlands",2004,27900,0.0449438202247192
"316","Austria",2004,27600,0.0454545454545454
"317","Poland",2004,10900,0.0792079207920793
"318","Portugal",2004,16700,0.0182926829268293
"319","Romania",2004,7500,0.153846153846154
"320","Slovenia",2004,18700,0.0809248554913296
"321","Slovakia",2004,12300,0.0695652173913044
"322","Finland",2004,25100,0.0772532188841202
"323","Sweden",2004,27300,0.0622568093385214
"324","United Kingdom",2004,26900,0.0590551181102361
"325","Iceland",2004,28400,0.0923076923076922
"326","Liechtenstein",2004,NA,NA
"327","Norway",2004,35700,0.105263157894737
"328","Switzerland",2004,29900,0.0346020761245676
"329","Former Yugoslav Republic of Macedonia",2004,5900,0.0925925925925926
"330","Serbia",2004,NA,NA
"331","Turkey",2004,8500,0.148648648648649
"332","United States",2004,35200,0.0538922155688624
"333","Japan",2004,24700,0.0466101694915255
"334","Belgium",2005,26900,0.0267175572519085
"335","Bulgaria",2005,8200,0.0933333333333333
"336","Czech Republic",2005,17800,0.0532544378698225
"337","Denmark",2005,27700,0.0221402214022139
"338","Germany",2005,26000,0.04
"339","Estonia",2005,13800,0.112903225806452
"340","Ireland",2005,32400,0.051948051948052
"341","Greece",2005,20400,0.00492610837438434
"342","Spain",2005,22900,0.0456621004566211
